"TOA5","CR5000","CR5000","","2.5","CPU:27Oct2015.cr5","41269","onemin"
"TIMESTAMP","RECORD","Rn_nr01_Avg","albedo_Avg","Rs_downwell_Avg","Rs_upwell_Avg","Rl_downwell_Avg","Rl_upwell_Avg","T_nr01_Avg","Rl_down_meas_Avg","Rl_up_meas_Avg","Rain_1_mm_Tot","Rain_2_mm_Tot"
"TS","RN","W/m^2","unitless","W/m^2","W/m^2","W/m^2","W/m^2","K","W/m^2","W/m^2","mm","mm"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Tot"
"2015-10-27 18:21:00",0,146.7811,0.1807609,250.1252,45.21289,342.5085,400.6396,289.7682,-57.23953,0.891651,0,0
"2015-10-27 18:22:00",1,149.3772,0.18112,250.9702,45.45561,343.0717,399.2091,289.7277,-56.45225,-0.3148278,0,0
"2015-10-27 18:23:00",2,148.4317,0.1804034,251.1735,45.31268,342.6782,400.1073,289.7097,-56.74699,0.6821437,0,0
"2015-10-27 18:24:00",3,146.293,0.1810631,249.6667,45.2051,342.7545,400.9231,289.7303,-56.78418,1.38438,0,0
"2015-10-27 18:25:00",4,145.3124,0.1811731,247.3096,44.80627,342.7868,399.9777,289.7073,-56.62487,0.5660673,0,0
"2015-10-27 18:26:00",5,145.5148,0.1811632,246.945,44.73743,343.0496,399.7423,289.7026,-56.33638,0.356361,0,0
"2015-10-27 18:27:00",6,145.2081,0.1807896,246.4379,44.55358,343.179,399.8552,289.6917,-56.1466,0.5296329,0,0
"2015-10-27 18:28:00",7,142.9941,0.1820725,244.8793,44.5857,343.269,400.5685,289.7092,-56.15326,1.146237,0,0
"2015-10-27 18:29:00",8,147.2288,0.1822268,249.8162,45.52323,343.2662,400.3303,289.6954,-56.07974,0.9843963,0,0
"2015-10-27 18:30:00",9,147.5654,0.1828084,249.8825,45.6806,343.4384,400.0748,289.6942,-55.90115,0.7353008,0,0
"2015-10-27 18:31:00",10,150.048,0.1828925,252.9156,46.25659,343.4502,400.0612,289.6894,-55.86291,0.7480751,0,0
"2015-10-27 18:32:00",11,152.9717,0.1835459,254.7409,46.75641,344.0794,399.0921,289.6706,-55.13009,-0.1173524,0,0
"2015-10-27 18:33:00",12,150.5885,0.1833703,254.3636,46.64336,343.773,400.9047,289.7063,-55.63307,1.498585,0,0
"2015-10-27 18:34:00",13,145.4591,0.1847425,250.8561,46.34902,344.0365,403.0845,289.8009,-55.89184,3.15613,0,0
"2015-10-27 18:35:00",14,130.6524,0.1836682,228.5265,41.97463,344.7942,400.6938,289.8307,-55.29815,0.6013592,0,0
"2015-10-27 18:36:00",15,133.3982,0.1828232,229.7268,41.99987,345.3639,399.6925,289.8047,-54.58543,-0.2567547,0,0
"2015-10-27 18:37:00",16,133.6879,0.1817495,229.3334,41.68167,345.2407,399.2044,289.7854,-54.60169,-0.6379206,0,0
"2015-10-27 18:38:00",17,130.265,0.1811822,225.3366,40.82718,344.4449,398.6893,289.7598,-55.25641,-1.012025,0,0
"2015-10-27 18:39:00",18,132.3054,0.1814229,228.9622,41.53991,343.6554,398.7722,289.74,-55.93666,-0.8197949,0,0
"2015-10-27 18:40:00",19,134.3925,0.1810926,231.4263,41.90939,343.1051,398.2296,289.7049,-56.29353,-1.169109,0,0
"2015-10-27 18:41:00",20,132.5266,0.1810647,230.1024,41.66324,342.4691,398.3816,289.6815,-56.80041,-0.8878788,0,0
"2015-10-27 18:42:00",21,129.0732,0.1809148,225.5582,40.80741,341.8604,397.538,289.6369,-57.16349,-1.485813,0,0
"2015-10-27 18:43:00",22,127.1277,0.180012,224.2358,40.36518,341.3453,398.0881,289.6059,-57.50768,-0.764819,0,0
"2015-10-27 18:44:00",23,124.6156,0.1798181,221.9557,39.9115,340.8271,398.2557,289.6107,-58.05214,-0.6235341,0,0
"2015-10-27 18:45:00",24,121.9574,0.1815391,219.9172,39.92364,340.8413,398.8775,289.6393,-58.19529,-0.1590934,0,0
"2015-10-27 18:46:00",25,121.2915,0.1798618,217.3734,39.09745,340.766,397.7504,289.614,-58.13148,-1.147056,0,0
"2015-10-27 18:47:00",26,118.9052,0.1802987,213.7202,38.53521,341.2088,397.4886,289.5801,-57.50217,-1.222339,0,0
"2015-10-27 18:48:00",27,116.5654,0.1793588,209.42,37.5616,341.1272,396.4201,289.5216,-57.2615,-1.968597,0,0
"2015-10-27 18:49:00",28,115.6957,0.1792949,208.0117,37.29552,341.0344,396.0549,289.4699,-57.06965,-2.049198,0,0
"2015-10-27 18:50:00",29,112.5312,0.1789061,204.6782,36.61811,341.0167,396.5456,289.4605,-57.03606,-1.507125,0,0
"2015-10-27 18:51:00",30,110.3187,0.1806866,202.8903,36.65953,341.5381,397.4502,289.4657,-56.54293,-0.6308639,0,0
"2015-10-27 18:52:00",31,109.815,0.1803954,201.6187,36.37128,341.5022,396.9347,289.4385,-56.42949,-0.9970415,0,0
"2015-10-27 18:53:00",32,108.2933,0.1800115,200.747,36.13675,340.8975,397.2144,289.4303,-56.98878,-0.6717985,0,0
"2015-10-27 18:54:00",33,107.9438,0.1808475,200.7034,36.29674,340.9094,397.3723,289.441,-57.03595,-0.5731295,0,0
"2015-10-27 18:55:00",34,105.9109,0.1809258,199.107,36.02343,340.951,398.1237,289.4661,-57.13224,0.0403956,0,0
"2015-10-27 18:56:00",35,104.2867,0.1825632,196.6924,35.90968,341.3454,397.8414,289.4694,-56.75606,-0.2600459,0,0
"2015-10-27 18:57:00",36,102.9516,0.1798366,192.8107,34.67538,341.5515,396.7352,289.4295,-56.33068,-1.14693,0,0
"2015-10-27 18:58:00",37,100.4908,0.1791127,189.4441,33.93147,341.8506,396.8725,289.4194,-55.97599,-0.9541593,0,0
"2015-10-27 18:59:00",38,98.93756,0.1797844,186.08,33.4543,342.4105,396.0987,289.3915,-55.26279,-1.574613,0,0
"2015-10-27 19:00:00",39,97.74376,0.1786646,183.1226,32.71788,342.0688,394.7298,289.3315,-55.27465,-2.613728,0,0
"2015-10-27 19:01:00",40,95.64442,0.1768081,180.2964,31.87793,341.778,394.552,289.2639,-55.19411,-2.42009,0,0
"2015-10-27 19:02:00",41,93.02014,0.1761492,176.0638,31.01366,341.9027,393.9326,289.2019,-54.72945,-2.699502,0,0
"2015-10-27 19:03:00",42,88.53529,0.1767424,171.8576,30.37403,342.13,395.0783,289.1916,-54.44543,-1.497116,0,0
"2015-10-27 19:04:00",43,85.34113,0.1783544,168.1231,29.98502,342.8347,395.6317,289.1982,-53.7767,-0.9797766,0,0
"2015-10-27 19:05:00",44,82.86347,0.1802416,164.5036,29.65034,343.3871,395.377,289.1855,-53.15464,-1.164813,0,0
"2015-10-27 19:06:00",45,82.95438,0.1790973,161.5657,28.93707,343.7578,393.4321,289.1122,-52.38205,-2.707758,0,0
"2015-10-27 19:07:00",46,81.49355,0.1769286,159.1258,28.15418,343.7239,393.202,289.0632,-52.1475,-2.669438,0,0
"2015-10-27 19:08:00",47,80.81645,0.1774468,156.942,27.84904,344.3415,392.618,289.0155,-51.2687,-2.992194,0,0
"2015-10-27 19:09:00",48,79.99363,0.1772856,154.3455,27.36357,344.9452,391.9335,288.9415,-50.26029,-3.271997,0,0
"2015-10-27 19:10:00",49,78.33854,0.1773297,152.469,27.03716,345.1227,392.2159,288.8849,-49.77298,-2.679689,0,0
"2015-10-27 19:11:00",50,78.08597,0.1774608,151.4304,26.87316,344.9082,391.3795,288.8192,-49.62873,-3.157433,0,0
"2015-10-27 19:12:00",51,77.26458,0.1780694,150.4196,26.78527,344.7467,391.1165,288.7539,-49.43302,-3.063279,0,0
"2015-10-27 19:13:00",52,76.85371,0.1773861,149.9919,26.60654,343.901,390.4327,288.6795,-49.8729,-3.341207,0,0
"2015-10-27 19:14:00",53,75.51298,0.1778594,150.0216,26.68278,343.2549,391.0808,288.6536,-50.37771,-2.551835,0,0
"2015-10-27 19:15:00",54,74.55308,0.1793715,150.1627,26.93493,342.884,391.5587,288.646,-50.7071,-2.032421,0,0
"2015-10-27 19:16:00",55,73.72779,0.1811785,150.57,27.2803,342.6431,392.205,288.6473,-50.9553,-1.393422,0,0
"2015-10-27 19:17:00",56,74.4009,0.1809536,151.0936,27.34113,342.427,391.7785,288.6289,-51.07103,-1.719468,0,0
"2015-10-27 19:18:00",57,76.431,0.1811678,151.959,27.53004,342.5973,390.5953,288.5784,-50.62511,-2.627114,0,0
"2015-10-27 19:19:00",58,77.10784,0.1794087,152.0596,27.28082,342.3737,390.0446,288.5118,-50.48569,-2.814775,0,0
"2015-10-27 19:20:00",59,76.27722,0.1798407,151.7738,27.2951,342.2103,390.4118,288.4793,-50.47211,-2.270623,0,0
"2015-10-27 19:21:00",60,75.29105,0.1800933,150.8799,27.17241,342.161,390.5774,288.4565,-50.39729,-1.980891,0,0
"2015-10-27 19:22:00",61,74.60072,0.1809963,149.8429,27.1213,342.3119,390.4328,288.4253,-50.07698,-1.956057,0,0
"2015-10-27 19:23:00",62,73.25278,0.1807169,147.9475,26.7365,342.1925,390.1507,288.4042,-50.08122,-2.123008,0,0
"2015-10-27 19:24:00",63,70.74369,0.1812061,145.9933,26.45486,342.1885,390.9832,288.4067,-50.09915,-1.304426,0,0
"2015-10-27 19:25:00",64,67.80703,0.1832537,144.0768,26.40219,342.2319,392.0995,288.4435,-50.25558,-0.388029,0,0
"2015-10-27 19:26:00",65,67.90779,0.184816,142.8356,26.39838,342.6221,391.1515,288.4566,-49.93698,-1.4076,0,0
"2015-10-27 19:27:00",66,67.53888,0.1826598,141.5466,25.85508,342.4869,390.6395,288.4387,-49.9744,-1.821775,0,0
"2015-10-27 19:28:00",67,66.53932,0.1828631,140.7689,25.74146,342.7219,391.21,288.437,-49.73024,-1.242122,0,0
"2015-10-27 19:29:00",68,66.69308,0.1824287,139.8912,25.52017,342.7119,390.3899,288.4185,-49.63954,-1.961584,0,0
"2015-10-27 19:30:00",69,66.50389,0.1824598,139.1636,25.39176,342.9873,390.2553,288.3942,-49.23236,-1.964413,0,0
"2015-10-27 19:31:00",70,66.23721,0.1818013,138.1825,25.12176,342.9292,389.7527,288.3562,-49.08337,-2.259815,0,0
"2015-10-27 19:32:00",71,65.49671,0.1813054,137.0212,24.84267,342.9545,389.6363,288.3253,-48.89035,-2.208537,0,0
"2015-10-27 19:33:00",72,64.56977,0.1813165,135.5332,24.57438,342.8921,389.2811,288.2981,-48.80499,-2.415953,0,0
"2015-10-27 19:34:00",73,62.79856,0.1814957,134.0592,24.33125,342.8558,389.7852,288.2916,-48.80566,-1.876217,0,0
"2015-10-27 19:35:00",74,61.46152,0.1833843,132.83,24.35883,342.9645,389.9742,288.3052,-48.77126,-1.761562,0,0
"2015-10-27 19:36:00",75,60.93689,0.1842341,131.8887,24.2984,343.08,389.7335,288.3057,-48.65842,-2.004952,0,0
"2015-10-27 19:37:00",76,60.46835,0.1840557,131.2246,24.15277,343.1993,389.8028,288.298,-48.49724,-1.893724,0,0
"2015-10-27 19:38:00",77,61.04454,0.1844478,131.5364,24.26154,343.3443,389.5746,288.2821,-48.26593,-2.035629,0,0
"2015-10-27 19:39:00",78,61.54807,0.1824832,131.8568,24.06166,343.0446,389.2917,288.2599,-48.44486,-2.197811,0,0
"2015-10-27 19:40:00",79,60.97094,0.1839076,132.2969,24.33051,343.0093,390.0048,288.2656,-48.51073,-1.515295,0,0
"2015-10-27 19:41:00",80,62.03835,0.1848468,132.5611,24.50359,343.2925,389.3117,288.2473,-48.12812,-2.108947,0,0
"2015-10-27 19:42:00",81,61.33408,0.1834524,131.7321,24.16648,343.0172,389.2487,288.2193,-48.25185,-2.020295,0,0
"2015-10-27 19:43:00",82,60.12449,0.1825713,130.3163,23.79202,342.8842,389.284,288.1998,-48.27901,-1.879259,0,0
"2015-10-27 19:44:00",83,58.01051,0.1831329,128.4124,23.51617,342.7206,389.6063,288.2062,-48.47715,-1.591455,0,0
"2015-10-27 19:45:00",84,57.53426,0.1840969,126.71,23.3275,342.9191,388.7673,288.1844,-48.16047,-2.312252,0,0
"2015-10-27 19:46:00",85,55.50733,0.1829096,124.5684,22.78448,342.6945,388.9711,288.1726,-48.32113,-2.044554,0,0
"2015-10-27 19:47:00",86,54.66177,0.1829432,122.9028,22.48505,342.8314,388.5874,288.1419,-48.01759,-2.261644,0,0
"2015-10-27 19:48:00",87,52.96452,0.181927,120.934,22.0013,342.6416,388.6098,288.1242,-48.11116,-2.14301,0,0
"2015-10-27 19:49:00",88,51.0346,0.1822067,119.0503,21.69137,342.6147,388.9391,288.117,-48.09881,-1.774479,0,0
"2015-10-27 19:50:00",89,50.18493,0.1836132,117.3829,21.55324,342.6529,388.2976,288.1,-47.96873,-2.323991,0,0
"2015-10-27 19:51:00",90,48.92685,0.1841206,115.6352,21.29079,342.6771,388.0946,288.0815,-47.84401,-2.426409,0,0
"2015-10-27 19:52:00",91,47.85306,0.1833487,113.9292,20.88893,342.5805,387.7677,288.0528,-47.785,-2.5978,0,0
