"TOA5","CR5000","CR5000","","2.5","CPU:27Apr2015.cr5","30757","flux"
"TIMESTAMP","RECORD","Hs","Fc_wpl","LE_wpl","Hc","tau","u_star","Ts_mean","stdev_Ts","cov_Ts_Ux","cov_Ts_Uy","cov_Ts_Uz","co2_mean","stdev_co2","cov_co2_Ux","cov_co2_Uy","cov_co2_Uz","h2o_Avg","stdev_h2o","cov_h2o_Ux","cov_h2o_Uy","cov_h2o_Uz","Ux_Avg","stdev_Ux","cov_Ux_Uy","cov_Ux_Uz","Uy_Avg","stdev_Uy","cov_Uy_Uz","Uz_Avg","stdev_Uz","press_mean","t_hmp_mean","h2o_hmp_mean","rho_a_mean","wnd_dir_compass","wnd_dir_csat3","wnd_spd","rslt_wnd_spd","std_wnd_dir","Fc_irga","LE_irga","co2_wpl_LE","co2_wpl_H","h2o_wpl_LE","h2o_wpl_H","n_Tot","csat_warnings","irga_warnings","del_T_f_Tot","sig_lck_f_Tot","amp_h_f_Tot","amp_l_f_Tot","chopper_f_Tot","detector_f_Tot","pll_f_Tot","sync_f_Tot","agc_Avg","panel_temp_Avg","batt_volt_Avg","shf_Avg(1)","shf_Avg(2)","shf_Avg(3)","shf_Avg(4)","del_Tsoil(1)","del_Tsoil(2)","soil_water_T_Avg(1)","soil_water_T_Avg(2)","soil_water_T_Avg(3)","soil_water_T_Avg(4)","soil_water_T_Avg(5)","Tsoil_avg(1)","Tsoil_avg(2)","cs616_wcr_Avg(1)","cs616_wcr_Avg(2)","cs616_wcr_Avg(3)","cs616_wcr_Avg(4)","cs616_wcr_Avg(5)","Rn_nr01_Avg","albedo_Avg","Rs_downwell_Avg","Rs_upwell_Avg","Rl_downwell_Avg","Rl_upwell_Avg","T_nr01_Avg","Rl_down_meas_Avg","Rl_up_meas_Avg","Rain_1_mm_Tot","Rain_2_mm_Tot"
"TS","RN","W/m^2","mg/(m^2 s)","W/m^2","W/m^2","kg/(m s^2)","m/s","C","C","m C/s","m C/s","m C/s","mg/m^3","mg/m^3","mg/(m^2 s)","mg/(m^2 s)","mg/(m^2 s)","g/m^3","g/m^3","g/(m^2 s)","g/(m^2 s)","g/(m^2 s)","m/s","m/s","(m/s)^2","(m/s)^2","m/s","m/s","(m/s)^2","m/s","m/s","kPa","C","g/m^3","kg/m^3","degrees","degrees","m/s","m/s","degrees","mg/(m^2 s)","W/m^2","mg/(m^2 s)","mg/(m^2 s)","W/m^2","W/m^2","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","unitless","C","V","W/m^2","W/m^2","W/m^2","W/m^2","C","C","frac_v_wtr","frac_v_wtr","frac_v_wtr","frac_v_wtr","frac_v_wtr","C","C","uSeconds","uSeconds","uSeconds","uSeconds","uSeconds","W/m^2","unitless","W/m^2","W/m^2","W/m^2","W/m^2","K","W/m^2","W/m^2","mm","mm"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Smp","Smp","Smp","Smp","Avg","Smp","Smp","Smp","Avg","Smp","Smp","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Tot"
"2015-10-09 21:40:00",12137,-10.56147,-0.06032821,107.9513,-17.06392,0.02833331,0.1556958,27.1979,0.2405177,-0.01147452,-0.01680988,-0.008994092,750.3997,23.70747,-8.658471,-6.320752,-0.06872855,14.64968,1.813976,0.6624759,0.5196995,0.04377265,0.05562892,0.4424628,0.1114754,0.003269393,-0.6973396,0.3991492,0.02401971,0.0592875,0.1772129,100.401,24.05324,15.53605,1.168809,85.43899,-85.439,0.8182986,0.6995549,30.85563,-0.06872855,106.8053,0.04588693,-0.03748659,2.318071,-1.172085,3000,0,0,0,0,0,0,0,0,0,0,45.116,25.7921,12.21111,9.107553,11.48621,15.22543,15.4802,0.004865646,-0.01959229,0.3769013,0.2162292,0.2847861,0.2311266,0.2228408,19.195,19.90842,29.97672,25.05348,27.28929,25.56018,25.27993,-6.046539,"NAN",1.218497,-0.106712,421.4352,428.807,296.2369,-15.22089,-7.849142,0,0
"2015-10-09 21:45:00",12138,-45.21926,2.089344,-183.8001,-33.52995,0.2599133,0.4713842,26.75934,0.7492092,-0.005796194,0.6750876,-0.0384788,654.1617,104.414,8.076964,85.1031,2.219014,16.99129,5.41918,-1.333676,-4.813834,-0.07173563,-1.386773,1.297735,0.1604246,0.2212011,-2.332124,1.33204,-0.02107834,-0.0793365,0.5934566,100.452,23.98909,15.45608,1.169711,120.7374,-120.7374,2.939465,2.713289,22.46846,2.219014,-175.0349,-0.06550039,-0.06416911,-3.776139,-4.989081,3000,0,0,0,0,0,0,0,0,0,0,70.731,25.63855,12.2066,9.070087,11.36599,14.84205,15.12617,-0.01301575,-0.01613808,0.3770077,0.2162647,0.2848269,0.2310929,0.2228419,19.18198,19.89228,29.97693,25.05359,27.28883,25.55782,25.2788,-5.425522,-0.6498917,-2.405923,1.524529,426.5635,428.0585,295.9063,-8.148556,-6.653485,0,0
"2015-10-09 21:50:00",12139,-20.92399,-46.6328,458.2991,-48.70229,0.02772912,0.1533527,24.23707,0.8207695,0.01489706,-0.334805,-0.01766314,873.0504,2024.083,-118.8882,327.8201,-46.732,13.92637,12.57072,0.9292358,-3.725222,0.1848754,0.141328,1.691,-1.365604,0.01458048,-4.201922,1.796423,0.01845159,-0.037236,0.7147594,100.5121,21.86167,15.15673,1.179107,88.07362,-88.07361,4.550467,4.204298,22.34092,-46.732,451.096,0.2234135,-0.1242195,9.4638,-2.260691,3000,0,0,0,0,0,0,0,0,0,0,93.915,25.43596,12.21164,9.023352,11.24336,14.46734,14.77081,0.0142765,-0.02009964,0.377025,0.2178936,0.2848131,0.2311172,0.2229722,19.19626,19.87218,29.97686,25.10919,27.28805,25.55839,25.283,-8.74091,-2.008832,-4.023339,6.675518,423.3985,421.4406,293.6772,1.6135,-0.3444467,2.286,2.54
"2015-10-09 21:55:00",12140,-53.08233,-15.58376,203.6038,-64.99014,0.2754685,0.48157,21.9659,0.3117211,-0.2017181,0.03518705,-0.04448088,898.8488,1184.715,26.25279,9.556837,-15.51688,7.994917,5.60253,0.1875787,-1.815841,0.08404697,-0.07243983,1.46055,-0.5934575,0.04820283,-3.488074,1.506505,0.2268448,-0.006376251,0.7121501,100.4941,19.6513,15.21664,1.187827,91.18974,-91.18973,3.800489,3.488827,23.19571,-15.51688,205.0746,0.103796,-0.1706753,4.287484,-5.758312,3000,0,0,0,0,0,0,0,0,0,0,92.553,25.12084,12.20247,8.975252,11.21101,16.54593,14.45008,-0.002429962,-0.02544403,0.3771577,0.2510721,0.2850599,0.2408262,0.2282324,19.19383,19.84674,29.97792,26.2126,27.29403,25.87982,25.46005,-5.21636,-3.136707,-1.37532,3.718754,410.6059,410.7282,291.5645,0.8509439,0.9732292,2.032,2.032
"2015-10-09 22:00:00",12141,-0.3777997,-7.128415,380.6142,-23.31894,0.06440436,0.2324602,21.64589,0.335919,-0.1986459,-0.3148881,-0.000315515,795.8608,829.7275,34.20375,0.3543828,-7.240796,8.921849,3.901334,6.7773e-005,-0.6921305,0.1528522,0.7301221,1.438481,0.5490091,-0.01585726,-2.497505,1.566297,0.05165872,0.09587563,0.6396315,100.5583,18.88094,15.07077,1.191841,73.70421,-73.70422,3.13855,2.60204,33.48955,-7.240796,372.9594,0.1665493,-0.05416828,7.695393,-0.04054955,2999,1,0,0,0,0,1,0,0,0,0,91.93233,24.69129,12.20334,8.920469,11.23893,17.41853,14.26101,-0.008722305,-0.03457451,0.3773204,0.2867804,0.2872874,0.2527249,0.2327512,19.18511,19.81216,29.97836,27.34385,27.36021,26.26804,25.6101,-3.815042,-4.883903,-0.5751083,2.439344,406.5308,407.3314,290.9509,0.216578,1.017168,1.016,1.016
"2015-10-09 22:05:00",12142,-15.58084,144.1775,396.9749,-39.36658,0.2656235,0.4717054,21.01292,0.2287381,0.06697524,0.09713849,-0.01299099,1245.399,2426.554,-103.2448,-209.2841,144.048,7.071419,7.720461,-0.227767,-0.944521,0.160096,0.7381519,1.065582,-0.3106996,-0.09816632,-3.260316,2.047141,0.1996804,-0.009618702,0.5960299,100.5816,18.4892,14.99052,1.193782,77.24301,-77.24301,3.631162,3.342832,22.8248,144.048,390.6342,0.272507,-0.1430376,8.003421,-1.662689,2997,3,0,0,0,0,3,0,0,0,0,93.676,24.19125,12.20306,10.81141,13.59876,16.52276,14.10906,0.01348686,-0.04559708,0.377446,0.3127931,0.2908637,0.2614517,0.2424478,19.1986,19.76657,29.97882,28.12722,27.46806,26.54667,25.92984,-1.951324,"INF",-0.09988183,1.385389,404.8543,405.3204,290.6445,0.2488165,0.7148694,4.572,5.08
"2015-10-09 22:10:00",12143,-16.22856,-22.43478,268.541,-32.24112,0.1574556,0.363069,20.8746,0.2736216,0.03656339,-0.06819601,-0.01352311,1034.615,1361.917,10.70292,-11.94572,-22.49083,5.674494,5.408556,-0.1632894,0.46699,0.108544,0.02267848,1.117662,-0.2818235,-0.02416165,-3.110514,0.8472309,0.1295859,0.02308495,0.5119717,100.5492,18.22375,15.00255,1.194482,89.58226,-89.58228,3.299432,3.110597,19.3779,-22.49083,264.8474,0.1533979,-0.09735201,5.427447,-1.733768,2999,1,0,0,0,0,1,0,0,0,0,93.89967,23.66596,12.20002,16.2915,12.26234,12.86311,13.54287,-0.03049278,-0.0565834,0.3777369,0.3440079,0.3038086,0.2788492,0.2606263,19.1681,19.70998,29.97869,29.03318,27.85518,27.09164,26.51602,-1.157222,"INF",-0.01555036,0.6077331,403.5409,404.0748,290.4606,-0.04154881,0.4923894,3.048,3.302
"2015-10-09 22:15:00",12144,-14.24105,-4.318483,-262.626,1.687618,0.02055647,0.131179,20.48058,0.2378735,-0.02486673,-0.05874583,-0.01186584,885.2244,749.8904,-6.90874,-25.56433,-4.196059,5.08683,3.276528,-0.3579442,-0.3072767,-0.1048634,-0.09394816,0.8002632,0.1330859,0.008239994,-1.896191,0.7675863,0.01510679,-0.008573191,0.3556041,100.5289,18.13988,14.99082,1.194593,92.83643,-92.83643,2.046157,1.898517,21.75791,-4.196059,-255.8667,-0.1267848,0.004360746,-5.238765,-1.520514,2999,1,0,0,0,0,1,0,0,0,0,92.453,23.14676,12.20549,17.1206,12.15929,8.267839,12.82387,-0.03497124,-0.083004,0.3781635,0.3609939,0.3274561,0.2871951,0.2769302,19.13313,19.62698,29.97942,29.5042,28.54637,27.34313,27.02492,-1.159093,"INF",-0.06466977,0.5816603,403.1147,403.6274,290.3914,-0.08296387,0.4297987,1.778,1.778
